,순위,선수명,팀명,AVG,HR,R,RBI
1,1,최형우,삼성,0.376,31,99,144
2,2,김태균,한화,0.365,23,94,136
3,3,이용규,한화,0.352,3,98,41
4,4,김주찬,기아,0.346,23,97,101
5,5,박용택,엘지,0.346,11,84,90
6,6,구자욱,삼성,0.343,14,105,77
7,7,박민우,엔씨,0.343,3,84,55
8,8,유한준,케이티,0.336,14,70,64
9,9,황재균,롯데,0.335,27,97,113
10,10,박건우,두산,0.335,20,95,83
11,11,고종욱,넥센,0.334,8,92,72
12,12,김재환,두산,0.325,37,107,124
13,13,송광민,한화,0.325,17,80,83
14,14,김문호,롯데,0.325,7,77,70
15,15,서건창,넥센,0.325,7,111,63
16,16,민병헌,두산,0.325,16,98,87
17,17,손아섭,롯데,0.323,16,118,81
18,18,강민호,롯데,0.323,20,65,72
19,19,로사리오,한화,0.321,33,78,120
20,20,테임즈,엔씨,0.321,40,118,121
21,21,이대형,케이티,0.32,1,89,42
22,22,김성현,에스케이,0.319,8,66,65
23,23,오재일,두산,0.316,27,69,92
24,24,박경수,케이티,0.313,20,64,80
25,25,채은성,엘지,0.313,9,64,81
26,26,필,기아,0.313,20,71,86
27,27,정의윤,에스케이,0.311,27,68,100
28,28,김재호,두산,0.31,7,69,78
29,29,이범호,기아,0.31,33,93,108
30,30,정근우,한화,0.31,18,121,88